filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0219A_20181210_141419.txt,382.0,0.9,1.0,91.5,91.3,989.5,987.9,1.9,1.8,1,0
0219A_20181210_141419.txt,383.0,1.1,1.0,91.5,91.3,984.1,987.9,1.7,1.8,1,0
0219A_20181210_141419.txt,384.0,1.1,1.0,91.4,91.4,985.1,988.0,1.8,1.8,1,0
0219A_20181210_141419.txt,391.0,1.0,1.0,91.3,91.4,987.4,988.9,1.8,1.8,1,0
0219A_20181210_141419.txt,393.0,0.9,1.0,91.3,91.4,989.4,987.6,1.9,1.9,1,0
0219A_20181210_141419.txt,394.0,1.0,1.0,91.5,91.4,989.8,987.6,1.9,1.9,1,0
0219A_20181210_141419.txt,396.0,0.9,0.9,91.5,91.4,989.7,987.4,1.8,1.9,1,0
0219A_20181210_141419.txt,397.0,0.8,1.0,91.5,91.4,973.3,987.6,1.8,1.9,1,0
0219A_20181210_141419.txt,398.0,0.8,1.0,91.4,91.4,989.5,987.6,1.9,1.9,1,0
0219A_20181210_141419.txt,399.0,0.8,1.0,91.4,91.5,989.0,987.2,1.9,1.9,1,0
0219A_20181210_141419.txt,401.0,1.1,0.9,91.5,91.4,989.4,987.2,1.9,1.9,1,0
0219A_20181210_141419.txt,402.0,1.1,1.0,91.4,91.5,989.2,987.2,2.0,1.9,1,0
0219A_20181210_141419.txt,403.0,0.9,1.0,91.5,91.4,985.4,988.8,1.8,1.9,1,0
0219A_20181210_141419.txt,411.0,1.0,1.0,91.5,91.4,989.7,988.2,2.0,1.9,1,0
0219A_20181210_141419.txt,412.0,1.0,0.9,91.4,91.5,985.7,988.0,2.0,1.9,1,0
0219A_20181210_141419.txt,413.0,1.0,0.9,91.4,91.5,985.1,988.0,1.8,1.9,1,0
0219A_20181210_141419.txt,417.0,1.0,1.0,91.6,91.5,989.0,987.8,1.9,1.9,1,0
0219A_20181210_141419.txt,420.0,1.0,1.0,91.5,91.5,985.7,988.2,1.9,1.9,1,0
0219A_20181210_141419.txt,423.0,1.2,1.0,91.4,91.5,984.2,988.5,1.9,1.9,1,0
0219A_20181210_141419.txt,424.0,1.0,1.0,91.6,91.5,989.9,988.5,1.9,1.9,1,0
0219A_20181210_141419.txt,431.0,1.0,1.0,91.5,91.5,990.1,988.3,1.8,1.8,1,0
0219A_20181210_141419.txt,433.0,1.0,1.0,91.5,91.5,984.2,988.1,1.7,1.8,1,0
0219A_20181210_141419.txt,434.0,1.0,1.0,91.5,91.5,984.7,987.8,1.8,1.8,1,0
0219A_20181210_141419.txt,435.0,1.0,1.0,91.4,91.5,988.6,987.4,1.7,1.8,1,0
0219A_20181210_141419.txt,437.0,1.1,1.0,91.5,91.4,988.9,986.6,1.9,1.8,1,0
0219A_20181210_141419.txt,440.0,0.9,1.1,91.4,91.5,983.2,986.6,1.7,1.8,1,0
0219A_20181210_141419.txt,441.0,1.1,1.1,91.4,91.5,988.3,986.6,1.7,1.8,1,0
0219A_20181210_141419.txt,442.0,1.1,1.1,91.6,91.6,983.8,986.8,1.8,1.8,1,0
