filename, row, T, meanT, RH, meanRH, P, meanP WS, meanWS, TFLAG(1=bad), WFLAG(1=bad)
0224A_20170501_150633.txt,302097.0,21.5,20.8,33.2,33.0,986.7,986.4,0.2,0.2,1,0
0224A_20170501_150633.txt,302099.0,21.4,20.8,32.9,33.1,986.7,986.4,0.2,0.2,1,0
0224A_20170501_150633.txt,302101.0,20.4,20.9,32.7,33.1,986.7,986.4,0.2,0.2,1,0
0224A_20170501_150633.txt,302104.0,21.6,20.9,33.3,33.2,986.7,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,302105.0,21.8,20.7,33.2,33.2,986.1,986.5,0.1,0.2,1,0
0224A_20170501_150633.txt,302107.0,19.9,20.9,33.3,33.2,986.5,986.5,0.1,0.2,1,0
0224A_20170501_150633.txt,302109.0,20.0,20.9,33.3,33.3,986.8,986.6,0.2,0.2,1,0
0224A_20170501_150633.txt,302110.0,21.6,20.9,32.7,33.3,986.1,986.6,0.2,0.1,1,0
0224A_20170501_150633.txt,302111.0,21.7,20.7,33.3,33.2,986.8,986.6,0.2,0.1,1,0
0224A_20170501_150633.txt,302112.0,20.2,20.7,33.5,33.2,986.4,986.6,0.2,0.2,1,0
0224A_20170501_150633.txt,302115.0,20.5,21.1,32.7,33.1,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302117.0,21.7,20.9,33.1,33.2,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302119.0,21.8,20.8,33.1,33.2,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302120.0,19.8,20.8,33.4,33.1,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302126.0,20.2,21.0,33.6,33.3,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302127.0,21.8,21.0,32.7,33.2,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302132.0,21.8,21.2,33.1,33.2,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302133.0,20.2,21.1,33.2,33.2,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302136.0,21.4,20.8,33.4,33.3,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302138.0,21.4,20.7,33.7,33.3,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302139.0,20.0,20.8,33.2,33.3,986.0,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302140.0,19.7,20.8,33.5,33.3,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302142.0,21.4,20.7,33.3,33.3,986.4,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302143.0,21.5,20.7,33.5,33.4,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302149.0,20.1,20.6,33.7,33.5,986.2,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302155.0,21.4,20.9,33.6,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302156.0,21.5,20.8,33.7,33.6,986.0,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302157.0,21.5,20.9,33.3,33.6,986.8,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302158.0,20.3,20.9,33.9,33.6,986.3,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302160.0,20.4,21.0,33.4,33.5,986.6,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302164.0,21.7,20.7,33.2,33.5,986.6,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302165.0,21.4,20.7,33.8,33.6,986.6,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302166.0,20.1,20.7,33.5,33.6,986.2,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302167.0,20.1,20.7,33.7,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302172.0,19.7,20.4,33.8,33.7,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302174.0,19.8,20.4,33.8,33.7,986.8,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302177.0,21.1,20.4,33.9,33.8,986.6,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302180.0,21.7,20.5,33.8,33.7,986.1,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302181.0,20.1,20.6,33.8,33.7,986.7,986.4,0.1,0.1,1,0
0224A_20170501_150633.txt,302182.0,20.2,20.7,33.8,33.7,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302185.0,21.6,20.7,33.6,33.6,986.0,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302186.0,21.4,20.6,33.7,33.6,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302188.0,20.2,20.7,33.5,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302189.0,20.2,20.8,33.3,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302194.0,19.6,20.8,33.8,33.6,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302200.0,20.4,21.0,33.2,33.5,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302201.0,21.7,20.9,33.7,33.5,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302204.0,20.2,20.9,33.3,33.4,986.4,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302206.0,21.6,20.9,32.9,33.5,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302207.0,21.7,20.9,33.0,33.5,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302208.0,20.1,20.9,33.7,33.5,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302209.0,20.4,20.9,33.9,33.4,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302211.0,21.5,20.9,33.6,33.5,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302212.0,21.7,20.9,33.4,33.6,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302215.0,20.5,21.0,34.1,33.7,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302217.0,21.6,21.1,33.9,33.8,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302219.0,21.6,21.0,34.0,33.9,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302220.0,21.7,20.9,34.1,34.0,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302224.0,20.4,21.0,34.2,33.9,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302225.0,20.2,20.9,34.2,33.9,986.8,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302228.0,21.8,20.8,33.6,34.0,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302230.0,20.3,20.9,34.3,33.8,986.9,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302233.0,20.4,21.1,33.1,33.8,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302234.0,21.6,21.0,33.5,33.8,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302236.0,22.0,21.0,33.8,33.8,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302239.0,20.4,21.0,34.0,33.9,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302241.0,20.3,21.0,34.2,33.9,986.1,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302244.0,21.7,20.8,34.2,34.0,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302245.0,20.3,20.9,33.6,34.0,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302246.0,20.3,20.8,34.1,34.0,986.3,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302251.0,21.9,20.9,33.7,33.9,986.4,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302253.0,19.8,21.0,34.0,34.0,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302256.0,20.4,21.1,34.0,33.9,986.5,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302257.0,22.0,20.9,34.1,34.0,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302258.0,21.3,20.7,33.7,34.0,986.2,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302261.0,20.1,20.9,34.2,34.0,986.7,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302262.0,19.6,20.9,34.1,33.9,986.6,986.5,0.1,0.1,1,0
0224A_20170501_150633.txt,302264.0,21.4,20.6,34.1,33.9,986.9,986.6,0.2,0.1,1,0
0224A_20170501_150633.txt,302265.0,21.3,20.6,33.9,34.0,986.2,986.5,0.2,0.2,1,0
0224A_20170501_150633.txt,302267.0,20.0,20.9,34.2,34.0,986.5,986.5,0.2,0.2,1,0
